            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448230.295138889, A.D. 1990-Dec-04 19:05:00.0000, -1.496188927266282E+07,  5.187798905122451E+07,  6.290867809825636E+06,
2448231.295138889, A.D. 1990-Dec-05 19:05:00.0000, -1.492293850405408E+07,  5.295815255543327E+07,  6.372503027771845E+06,
2448232.295138889, A.D. 1990-Dec-06 19:05:00.0000, -1.487443504147564E+07,  5.405633956733943E+07,  6.453304832536582E+06,
2448233.295138889, A.D. 1990-Dec-07 19:05:00.0000, -1.481671166581825E+07,  5.517316059661599E+07,  6.533286795478828E+06,
2448234.295138889, A.D. 1990-Dec-08 19:05:00.0000, -1.475013742071541E+07,  5.630922269990829E+07,  6.612462100551371E+06,
2448235.295138889, A.D. 1990-Dec-09 19:05:00.0000, -1.467511476076079E+07,  5.746511985353313E+07,  6.690842840195764E+06,
2448236.295138889, A.D. 1990-Dec-10 19:05:00.0000, -1.459207741973667E+07,  5.864143025227693E+07,  6.768440119212180E+06,
2448237.295138889, A.D. 1990-Dec-11 19:05:00.0000, -1.450148783837823E+07,  5.983871393981002E+07,  6.845264120177209E+06,
2448238.295138889, A.D. 1990-Dec-12 19:05:00.0000, -1.440383450562319E+07,  6.105751023028354E+07,  6.921324068779644E+06,
2448239.295138889, A.D. 1990-Dec-13 19:05:00.0000, -1.429963035188857E+07,  6.229833855782977E+07,  6.996628545830719E+06,
2448240.295138889, A.D. 1990-Dec-14 19:05:00.0000, -1.418941042737274E+07,  6.356169590695004E+07,  7.071185360592809E+06,
2448241.295138889, A.D. 1990-Dec-15 19:05:00.0000, -1.407373004314243E+07,  6.484805555581854E+07,  7.145001569447756E+06,
2448242.295138889, A.D. 1990-Dec-16 19:05:00.0000, -1.395316314034590E+07,  6.615786685393184E+07,  7.218083606750507E+06,
2448243.295138889, A.D. 1990-Dec-17 19:05:00.0000, -1.382830031398815E+07,  6.749155393784240E+07,  7.290437296940092E+06,
2448244.295138889, A.D. 1990-Dec-18 19:05:00.0000, -1.369974667353670E+07,  6.884951430816039E+07,  7.362067852120910E+06,
2448245.295138889, A.D. 1990-Dec-19 19:05:00.0000, -1.356812029588587E+07,  7.023212070446154E+07,  7.432980233655933E+06,
2448246.295138889, A.D. 1990-Dec-20 19:05:00.0000, -1.343404940554880E+07,  7.163971769845845E+07,  7.503178917926345E+06,
2448247.295138889, A.D. 1990-Dec-21 19:05:00.0000, -1.329817074404942E+07,  7.307262421612452E+07,  7.572668308622483E+06,
2448248.295138889, A.D. 1990-Dec-22 19:05:00.0000, -1.316112701065428E+07,  7.453113199110156E+07,  7.641452694118317E+06,
2448249.295138889, A.D. 1990-Dec-23 19:05:00.0000, -1.302356457962469E+07,  7.601550602828811E+07,  7.709536421546768E+06,
2448250.295138889, A.D. 1990-Dec-24 19:05:00.0000, -1.288613101317508E+07,  7.752598522242953E+07,  7.776924087756526E+06,
2448251.295138889, A.D. 1990-Dec-25 19:05:00.0000, -1.274947272312163E+07,  7.906278553140783E+07,  7.843620994551554E+06,
2448252.295138889, A.D. 1990-Dec-26 19:05:00.0000, -1.261423062731116E+07,  8.062609472444651E+07,  7.909632692075077E+06,
2448253.295138889, A.D. 1990-Dec-27 19:05:00.0000, -1.248103843850404E+07,  8.221608198060878E+07,  7.974966023072660E+06,
2448254.295138889, A.D. 1990-Dec-28 19:05:00.0000, -1.235051976917799E+07,  8.383289973432177E+07,  8.039629211255115E+06,
2448255.295138889, A.D. 1990-Dec-29 19:05:00.0000, -1.222328734880264E+07,  8.547669053820997E+07,  8.103632233995993E+06,
2448256.295138889, A.D. 1990-Dec-30 19:05:00.0000, -1.209994455615506E+07,  8.714759357450882E+07,  8.166986900256369E+06,
2448257.295138889, A.D. 1990-Dec-31 19:05:00.0000, -1.198108881220215E+07,  8.884574154617977E+07,  8.229706176739935E+06,
2448258.295138889, A.D. 1991-Jan-01 19:05:00.0000, -1.186731998754015E+07,  9.057127481912377E+07,  8.291804386411756E+06,
2448259.295138889, A.D. 1991-Jan-02 19:05:00.0000, -1.175924748445514E+07,  9.232433653096505E+07,  8.353296251186918E+06,
2448260.295138889, A.D. 1991-Jan-03 19:05:00.0000, -1.165749643057385E+07,  9.410506842251211E+07,  8.414196156837396E+06,
